Date,Open,High,Low,Close,Adj Close,Volume
2005-07-21,48.220001,49.200001,47.840000,48.040001,32.409931,109200
2005-07-22,49.240002,49.799999,47.900002,49.720001,33.543339,56800
2005-07-25,49.799999,49.799999,48.299999,48.480000,32.706764,39600
2005-07-26,48.700001,48.700001,47.500000,48.000000,32.382935,102400
2005-07-27,48.000000,48.240002,47.299999,48.139999,32.477394,98100
2005-07-28,48.200001,48.240002,47.820000,48.099998,32.450413,93600
2005-07-29,48.200001,48.700001,47.700001,48.680000,32.841698,60700
2005-08-01,48.459999,49.000000,48.200001,48.700001,32.855190,164900
2005-08-02,52.000000,52.000000,47.279999,48.099998,32.450413,299700
2005-08-03,48.540001,48.540001,47.520000,47.700001,32.180550,147700
2005-08-04,47.540001,47.779999,46.700001,47.200001,31.843224,141200
2005-08-05,47.380001,47.380001,46.299999,46.740002,31.532887,207000
2005-08-08,47.000000,47.299999,42.520000,45.000000,30.359005,6384200
2005-08-09,46.540001,47.700001,45.040001,47.700001,32.180550,4870300
2005-08-10,48.380001,49.040001,47.340000,47.400002,31.978151,2559000
2005-08-11,47.160000,47.560001,45.560001,45.740002,30.858248,1705100
2005-08-12,45.459999,45.500000,43.000000,44.599998,30.089142,1688900
2005-08-15,45.000000,45.160000,42.599998,42.880001,28.928762,1489800
2005-08-16,42.580002,43.200001,41.380001,42.900002,28.942247,2345600
2005-08-17,42.360001,43.980000,42.299999,43.380001,29.266079,1120600
2005-08-18,42.580002,44.000000,42.580002,43.500000,29.347038,1339900
2005-08-19,43.220001,43.799999,43.080002,43.299999,29.212114,736700
2005-08-22,43.400002,43.599998,42.400002,43.200001,29.144640,1630600
2005-08-23,42.759998,43.279999,42.419998,42.900002,28.942247,1077200
2005-08-24,42.599998,43.560001,42.439999,43.200001,29.144640,1159600
2005-08-25,42.860001,44.619999,42.860001,44.320000,29.900249,789600
2005-08-26,44.279999,45.060001,43.799999,44.220001,29.832792,539900
2005-08-29,44.099998,45.000000,43.799999,44.680000,30.143122,465000
2005-08-30,44.080002,45.000000,44.000000,44.799999,30.224079,606100
2005-08-31,44.540001,44.860001,44.000000,44.520000,30.035172,826900
2005-09-01,44.279999,44.880001,44.119999,44.439999,29.981209,740500
2005-09-02,44.380001,45.259998,43.439999,44.740002,30.183607,918500
2005-09-06,43.380001,45.099998,43.380001,44.180000,29.805803,1242200
2005-09-07,43.900002,45.180000,43.820000,44.560001,30.062166,683400
2005-09-08,44.340000,45.939999,44.040001,44.900002,30.291552,640200
2005-09-09,44.000000,44.700001,43.500000,44.119999,29.765327,1995900
2005-09-12,43.900002,45.580002,43.900002,44.200001,29.819302,1010600
2005-09-13,44.680000,44.820000,44.000000,44.139999,29.778816,748300
2005-09-14,43.880001,44.279999,43.500000,43.639999,29.441488,727300
2005-09-15,43.459999,43.700001,42.099998,42.820000,28.888277,1261400
2005-09-16,42.500000,42.919998,41.500000,42.000000,28.335064,951900
2005-09-19,41.599998,42.619999,41.520000,42.099998,28.402534,1082000
2005-09-20,42.139999,42.139999,41.520000,41.880001,28.254114,665300
2005-09-21,42.880001,43.000000,37.220001,41.299999,27.862814,896600
2005-09-22,41.320000,41.340000,39.259998,40.500000,27.323103,972600
2005-09-23,40.580002,40.599998,39.500000,40.160000,27.093727,690200
2005-09-26,40.060001,40.660000,39.799999,40.080002,27.039759,765500
2005-09-27,40.080002,40.540001,39.299999,39.840000,26.877842,676500
2005-09-28,39.759998,39.860001,39.279999,39.459999,26.621475,651600
2005-09-29,39.220001,40.220001,39.080002,40.040001,27.012772,1144100
2005-09-30,39.299999,39.980000,39.040001,39.619999,26.729416,1072900
2005-10-03,40.820000,42.500000,40.400002,40.820000,27.538996,1023300
2005-10-04,40.880001,42.040001,40.799999,41.180000,27.781864,672800
2005-10-05,41.200001,41.540001,39.840000,40.180000,27.107224,538700
2005-10-06,40.599998,40.599998,39.320000,40.080002,27.039759,367700
2005-10-07,39.840000,40.799999,39.439999,40.200001,27.120714,546500
2005-10-10,40.000000,41.000000,39.799999,40.599998,27.390568,442300
2005-10-11,40.619999,41.160000,39.799999,40.099998,27.053244,446000
2005-10-12,39.900002,40.500000,39.080002,39.299999,26.513533,620300
2005-10-13,39.040001,39.820000,38.599998,39.520000,26.661959,621500
2005-10-14,39.619999,41.919998,39.400002,40.279999,27.174685,479800
2005-10-17,40.160000,41.000000,39.500000,40.840000,27.552486,600700
2005-10-18,40.939999,41.160000,39.400002,39.740002,26.810387,300700
2005-10-19,39.700001,39.980000,38.900002,39.180000,26.432579,467400
2005-10-20,39.040001,39.400002,37.959999,39.000000,26.311136,588100
2005-10-21,38.720001,39.880001,38.419998,39.160000,26.419085,417200
2005-10-24,39.240002,39.240002,37.720001,38.540001,26.000797,794000
2005-10-25,38.180000,38.480000,37.500000,37.660000,25.407114,491100
2005-10-26,37.619999,38.060001,37.020000,37.480000,25.285683,471600
2005-10-27,38.160000,38.200001,37.400002,37.660000,25.407114,572600
2005-10-28,37.180000,37.779999,37.160000,37.560001,25.339655,607300
2005-10-31,37.220001,38.459999,36.980000,37.700001,25.434105,903800
2005-11-01,37.360001,38.380001,37.360001,38.080002,25.690462,820800
2005-11-02,37.880001,39.080002,37.599998,38.799999,26.176207,824000
2005-11-03,41.000000,41.939999,40.259998,41.419998,27.943779,2266800
2005-11-04,46.959999,48.240002,44.400002,45.459999,30.669346,4354600
2005-11-07,45.599998,45.740002,44.119999,45.259998,30.534412,723600
2005-11-08,44.840000,45.799999,43.799999,45.180000,30.480448,704700
2005-11-09,45.240002,45.580002,44.040001,44.599998,30.089142,823200
2005-11-10,44.200001,44.919998,43.820000,44.000000,29.684364,647100
2005-11-11,43.980000,44.240002,42.759998,43.000000,29.009718,686900
2005-11-14,43.000000,43.639999,42.299999,43.139999,29.104170,949800
2005-11-15,42.919998,43.180000,42.160000,43.020000,29.023211,661400
2005-11-16,43.380001,44.160000,42.740002,42.820000,28.888277,575300
2005-11-17,42.900002,43.740002,42.320000,43.299999,29.212114,1132600
2005-11-18,43.299999,43.820000,43.099998,43.400002,29.279570,833900
2005-11-21,43.360001,45.799999,43.360001,45.200001,30.493944,2279800
2005-11-22,45.439999,47.380001,44.840000,46.799999,31.573364,1898600
2005-11-23,46.200001,46.799999,45.099998,45.599998,30.763798,1132300
2005-11-25,45.880001,46.840000,45.880001,46.279999,31.222557,193300
2005-11-28,46.700001,46.939999,45.840000,46.380001,31.290018,645500
2005-11-29,46.259998,48.500000,46.200001,47.320000,31.924185,1951800
2005-11-30,47.939999,49.980000,47.480000,49.779999,33.583801,2771500
2005-12-01,49.779999,50.160000,49.259998,49.680000,33.516342,1448900
2005-12-02,49.299999,49.860001,48.799999,49.799999,33.597305,470800
2005-12-05,49.939999,49.939999,48.279999,48.759998,32.895668,1101300
2005-12-06,49.259998,49.580002,48.419998,48.619999,32.801212,676400
2005-12-07,48.419998,49.599998,48.419998,49.160000,33.165531,995900
2005-12-08,49.000000,49.540001,48.400002,49.240002,33.219505,528500
2005-12-09,49.099998,50.240002,48.660000,49.799999,33.597305,980900
2005-12-12,50.500000,50.599998,49.200001,50.400002,34.002087,704400
2005-12-13,50.299999,50.860001,49.459999,50.240002,33.894135,891500
2005-12-14,50.419998,50.959999,49.619999,50.720001,34.217979,693100
2005-12-15,50.860001,51.160000,50.060001,50.860001,34.312420,834800
2005-12-16,51.299999,52.639999,49.919998,52.200001,35.216461,8207900
2005-12-19,51.320000,51.880001,49.599998,50.840000,34.298935,2319800
2005-12-20,50.980000,51.119999,48.900002,49.520000,33.408401,1073300
2005-12-21,49.320000,49.520000,48.299999,48.639999,32.814713,1044600
2005-12-22,48.820000,49.119999,47.220001,48.360001,32.625805,1500000
2005-12-23,48.520000,48.779999,47.540001,47.919998,32.328964,498500
2005-12-27,47.799999,48.439999,46.299999,47.439999,32.005131,550500
2005-12-28,47.139999,48.119999,46.200001,47.900002,32.315487,946900
2005-12-29,48.000000,48.459999,47.360001,47.660000,32.153564,449400
2005-12-30,47.360001,48.380001,46.799999,47.919998,32.328964,529000
2006-01-03,48.000000,48.400002,46.900002,48.000000,32.382935,1029700
2006-01-04,48.000000,48.599998,47.180000,48.500000,32.720268,1135500
2006-01-05,48.660000,48.700001,47.599998,48.000000,32.382935,618800
2006-01-06,48.480000,48.680000,47.220001,48.020000,32.396431,1600500
2006-01-09,48.080002,49.020000,47.599998,48.840000,32.949638,1079500
2006-01-10,49.720001,50.799999,49.040001,50.619999,34.150513,1861100
2006-01-11,50.560001,51.299999,50.099998,50.880001,34.325916,966900
2006-01-12,50.500000,51.400002,50.099998,51.259998,34.582283,854700
2006-01-13,51.060001,51.599998,50.740002,51.439999,34.703712,635100
2006-01-17,51.680000,51.980000,51.439999,51.740002,34.906105,1292000
2006-01-18,51.340000,52.259998,51.340000,51.919998,35.027531,1305900
2006-01-19,51.900002,52.220001,51.259998,51.959999,35.054539,437200
2006-01-20,51.459999,52.000000,50.419998,50.700001,34.204479,760500
2006-01-23,50.540001,51.540001,50.000000,51.320000,34.622757,634200
2006-01-24,51.320000,51.759998,50.500000,50.980000,34.393387,1179400
2006-01-25,50.840000,51.000000,49.400002,50.599998,34.137028,589100
2006-01-26,51.200001,51.799999,50.619999,51.340000,34.636246,605000
2006-01-27,51.380001,53.099998,51.139999,52.340000,35.310890,972600
2006-01-30,52.660000,53.220001,52.259998,52.619999,35.499802,736800
2006-01-31,52.580002,52.919998,51.200001,52.040001,35.108505,587300
2006-02-01,51.860001,52.599998,50.959999,52.360001,35.324387,418400
2006-02-02,52.020000,55.099998,51.240002,51.779999,34.933098,753800
2006-02-03,50.959999,51.340000,49.599998,50.939999,34.366390,846800
2006-02-06,50.459999,51.180000,50.400002,51.040001,34.433865,393200
2006-02-07,50.540001,51.439999,50.400002,51.080002,34.460857,491200
2006-02-08,51.060001,51.740002,50.660000,51.400002,34.676723,486600
2006-02-09,51.259998,52.220001,50.200001,50.480000,34.056061,440400
2006-02-10,48.619999,48.799999,47.099998,48.480000,32.706764,2202100
2006-02-13,48.040001,48.560001,47.639999,48.400002,32.652805,735400
2006-02-14,48.160000,48.400002,46.560001,47.660000,32.153564,1425600
2006-02-15,47.419998,49.279999,46.980000,48.500000,32.720268,1952100
2006-02-16,39.400002,41.520000,38.900002,39.639999,26.742908,13689600
2006-02-17,39.599998,41.000000,39.459999,40.240002,27.147711,2051000
2006-02-21,40.139999,40.419998,39.560001,39.959999,26.958797,2299400
2006-02-22,40.200001,41.119999,39.959999,40.599998,27.390568,1656900
2006-02-23,40.560001,40.599998,39.880001,40.040001,27.012772,852400
2006-02-24,39.880001,40.000000,39.000000,39.040001,26.338131,1933200
2006-02-27,39.240002,39.680000,38.980000,39.020000,26.324627,1206600
2006-02-28,39.119999,39.119999,37.580002,37.939999,25.596012,2488500
2006-03-01,38.020000,39.139999,37.700001,38.799999,26.176207,1285300
2006-03-02,38.500000,38.799999,38.020000,38.320000,25.852381,625900
2006-03-03,38.139999,38.980000,37.840000,38.799999,26.176207,776000
2006-03-06,38.619999,39.000000,38.520000,38.720001,26.122242,996400
2006-03-07,38.759998,38.759998,37.900002,38.259998,25.811897,719900
2006-03-08,38.000000,38.259998,36.939999,37.540001,25.326162,1467700
2006-03-09,37.660000,37.880001,37.040001,37.139999,25.056305,1017100
2006-03-10,37.160000,37.599998,36.099998,36.939999,24.921373,1060300
